"","GeoFIPS","GeoName","Region","Year","Quarter","GDP_All","GDP_Pri","GDP_Gov","PI","PCPI","Civ_Pop","Civ_LF","Civ_LFP","Civ_E","Civ_EP","Civ_UE","Civ_UEP","text_gdp","rdate_gdp","dow_gdp","text_pi","rdate_pi","dow_pi","text_ue","rdate_ue","dow_ue"
"1",1000,"Alabama",5,2005,1,154589,129604,24984,134891864,NA,"3,465,050   ","2,136,325   ",61.7,"2,035,190   ",58.7,"101,135   ",4.7,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"2",19000,"Iowa",4,2005,1,122525,108882,13643,95537360,NA,"2,270,656   ","1,618,988   ",71.3,"1,548,528   ",68.2,"70,460   ",4.4,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"3",27000,"Minnesota",4,2005,1,241207,216827,24380,190053012,NA,"3,916,435   ","2,868,830   ",73.3,"2,749,997   ",70.2,"118,833   ",4.1,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"4",16000,"Idaho",7,2005,1,46903,39981,6922,41442192,NA,"1,047,271   ","725,228   ",69.2,"695,216   ",66.4,"30,012   ",4.1,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"5",2000,"Alaska",8,2005,1,37797,30131,7666,25089464,NA,"477,365   ","342,775   ",71.8,"319,071   ",66.8,"23,704   ",6.9,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"6",44000,"Rhode Island",1,2005,1,44467,37886,6580,38521320,NA,"836,982   ","561,929   ",67.1,"534,026   ",63.8,"27,903   ",5,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"7",53000,"Washington",8,2005,1,289909,247603,42306,230592176,NA,"4,790,818   ","3,239,842   ",67.6,"3,056,217   ",63.8,"183,625   ",5.7,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"8",40000,"Oklahoma",6,2005,1,120889,101356,19533,106518068,NA,"2,649,591   ","1,698,064   ",64.1,"1,619,759   ",61.1,"78,305   ",4.6,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"9",29000,"Missouri",4,2005,1,221912,194739,27173,185038468,NA,"4,418,842   ","2,999,170   ",67.9,"2,825,573   ",63.9,"173,597   ",5.8,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"10",9000,"Connecticut",1,2005,1,203806,184085,19721,169333776,NA,"2,672,291   ","1,786,403   ",66.8,"1,697,178   ",63.5,"89,225   ",5,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"11",18000,"Indiana",3,2005,1,243179,220200,22979,192122424,NA,"4,739,527   ","3,189,804   ",67.3,"3,012,800   ",63.6,"177,004   ",5.5,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"12",5000,"Arkansas",5,2005,1,88042,76407,11635,75816168,NA,"2,103,753   ","1,332,879   ",63.4,"1,262,524   ",60,"70,355   ",5.3,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"13",30000,"Montana",7,2005,1,29641,24638,5002,27147748,NA,"724,891   ","483,656   ",66.7,"461,882   ",63.7,"21,774   ",4.5,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"14",10000,"Delaware",2,2005,1,51679,46672,5008,31659556,NA,"641,082   ","425,746   ",66.4,"408,717   ",63.8,"17,029   ",4,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"15",34000,"New Jersey",2,2005,1,439336,390428,48908,384509732,NA,"6,620,383   ","4,358,904   ",65.8,"4,171,356   ",63,"187,548   ",4.3,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"16",6000,"California",8,2005,1,1715019,1495536,219483,1361548748,NA,"26,678,872   ","17,468,740   ",65.5,"16,496,882   ",61.8,"971,858   ",5.6,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"17",56000,"Wyoming",7,2005,1,25854,22044,3810,19341880,NA,"388,553   ","275,079   ",70.8,"265,417   ",68.3,"9,662   ",3.5,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"18",35000,"New Mexico",6,2005,1,72312,55233,17079,54253312,NA,"1,429,046   ","914,563   ",64,"865,623   ",60.6,"48,940   ",5.4,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"19",24000,"Maryland",2,2005,1,257846,206946,50900,236095672,NA,"4,239,551   ","2,912,731   ",68.7,"2,787,333   ",65.7,"125,398   ",4.3,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"20",32000,"Nevada",8,2005,1,112887,101348,11538,91036240,NA,"1,800,253   ","1,207,599   ",67.1,"1,158,461   ",64.3,"49,138   ",4.1,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"21",21000,"Kentucky",5,2005,1,140646,120267,20378,119507812,NA,"3,195,814   ","1,984,837   ",62.1,"1,871,830   ",58.6,"113,007   ",5.7,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"22",36000,"New York",2,2005,1,997619,878804,118815,774431472,NA,"14,977,409   ","9,408,859   ",62.8,"8,939,978   ",59.7,"468,881   ",5,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"23",25000,"Massachusetts",1,2005,1,339708,302232,37476,278603924,NA,"5,055,380   ","3,377,485   ",66.8,"3,212,400   ",63.5,"165,085   ",4.9,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"24",33000,"New Hampshire",1,2005,1,55153,48697,6456,50383484,NA,"1,015,536   ","723,198   ",71.2,"697,265   ",68.7,"25,933   ",3.6,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"25",22000,"Louisiana",5,2005,1,194723,171905,22818,129793392,NA,"3,351,321   ","2,064,216   ",61.6,"1,943,612   ",58,"120,604   ",5.8,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"26",37000,"North Carolina",5,2005,1,351469,303815,47654,275388804,NA,"6,530,360   ","4,294,779   ",65.8,"4,063,297   ",62.2,"231,482   ",5.4,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"27",50000,"Vermont",1,2005,1,23232,19843,3389,21097912,NA,"494,236   ","348,135   ",70.4,"336,177   ",68,"11,958   ",3.4,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
